,word,frequency
0,bring,6
1,items,5
2,clothes,5
3,suitcase,4
4,soap,4
5,well,3
6,variety,3
7,two,3
8,traveling,3
9,travel,3
10,really,3
11,pairs,3
12,pack,3
13,may,3
14,like,3
15,jeans,3
16,good,3
17,enough,3
18,away,3
19,worn,2
20,without,2
21,wear,2
22,way,2
23,undergarments,2
24,trip,2
25,transit,2
26,taking,2
27,swimsuit,2
28,shoes,2
29,room,2
30,reason,2
31,pretty,2
32,pair,2
33,packing,2
34,one,2
35,often,2
36,need,2
37,multipurpose,2
38,heavy,2
39,get,2
40,extra,2
41,dry,2
42,dress,2
43,days,2
44,cumbersome,2
45,couple,2
46,comes,2
47,clothing,2
48,carryon,2
49,bra,2
50,bottoms,2
51,bag,2
52,also,2
